lga,indicator,percentage,vic_point_est,vic_lower,vic_upper,comparison
Maroondah (C),Sedentary (inactive),2.544783,2.539791,2.256574,2.857514,Not sig. diff.
Maroondah (C),Insufficiently physically active,42.29829,44.08774,43.18836,44.99101,Significantly lower
Maroondah (C),Complied with vegetable consumption guidelines,4.885224,5.388293,5.0284,5.77238,Significantly lower
Maroondah (C),Complied with fruit consumption guidelines,42.42671,43.19355,42.28772,44.10395,Not sig. diff.
Maroondah (C),Daily smoker,13.59936,12.42754,11.80477,13.0783,Significantly higher
Maroondah (C),Current (i.e. daily or occasional smoker),15.06555,16.741,16.03742,17.46903,Significantly lower
Maroondah (C),Increased lifetime risk of alcohol related harm,62.82796,59.48907,58.59407,60.37781,Significantly higher
Maroondah (C),Incr. risk of injury from a single occasion of drinking,46.70122,42.98549,42.10708,43.86834,Significantly higher
Maroondah (C),Fair or poor self reported health,14.14074,20.28965,19.55869,21.04079,Significantly lower
Maroondah (C),Low or medium life satisfaction,18.21077,20.45532,19.69321,21.23913,Significantly lower
Maroondah (C),High or very high levels of psychological distress,13.07,15.43,14.75,16.14,Significantly lower
Maroondah (C),Doctor diagnosed hypertension,22.61414,25.42567,24.74985,26.11354,Significantly lower
Maroondah (C),Anxiety or depression,26.22112,27.36389,26.566,28.17655,Significantly lower
Maroondah (C),Arthritis,21.83113,20.54975,19.97896,21.13254,Significantly higher
Maroondah (C),Asthma ever diagnosed,19.87563,19.9574,19.24135,20.69326,Not sig. diff.
Maroondah (C),Cancer,7.446432,8.055676,7.650898,8.479904,Significantly lower
Maroondah (C),Type 2 diabetes,4.575156,5.452335,5.114101,5.81157,Significantly lower
Maroondah (C),Heart disease,6.296412,6.74474,6.381202,7.127412,Significantly lower
Maroondah (C),Osteoporosis,4.591306,5.669229,5.326293,6.032838,Significantly lower
Maroondah (C),Stroke,2.219064,2.364184,2.142138,2.608632,Not sig. diff.
Maroondah (C),Two or more chronic diseases,25.04291,25.48854,24.80298,26.18645,Not sig. diff.
Maroondah (C),Had a blood lipids test in last 2 years,54.47559,56.78789,55.95063,57.62128,Significantly lower
Maroondah (C),Had a blood pressure test in last 2 years,79.12155,79.5963,78.80486,80.36555,Not sig. diff.
Maroondah (C),Had a blood glucose test in last 2 years,49.84775,50.72365,49.86354,51.58334,Significantly lower
Maroondah (C),Had a faecal occult blood test 50 years of age,69.69588,60.14296,58.76671,61.50336,Significantly higher
Maroondah (C),Had a bowel exam to detect cancer last 5 years,53.38189,46.75256,45.59576,47.91285,Significantly higher
Maroondah (C),Had a mammogram to detect cancer in last 2 years,66.96458,79.2266,77.66267,80.70823,Significantly lower
Melbourne (C),Obese,8.627076,19.26897,18.58293,19.97411,Significantly lower
Melbourne (C),Overweight,30.78513,50.80429,49.90919,51.69888,Significantly lower
Melbourne (C),Daily consumer of sugar sweetened soft drinks,11.4483,10.09867,9.516874,10.71183,Significantly higher
Melbourne (C),Take away food consumed >1 day/week,22.37547,15.2893,14.59565,16.00974,Significantly higher
Melbourne (C),Sedentary (inactive),0.7687851,2.539791,2.256574,2.857514,Significantly lower
Melbourne (C),Insufficiently physically active,46.92912,44.08774,43.18836,44.99101,Significantly higher
Melbourne (C),Complied with vegetable consumption guidelines,5.743776,5.388293,5.0284,5.77238,Not sig. diff.
Melbourne (C),Complied with fruit consumption guidelines,49.46887,43.19355,42.28772,44.10395,Significantly higher
Melbourne (C),Daily smoker,4.25606,12.42754,11.80477,13.0783,Significantly lower
Melbourne (C),Current (i.e. daily or occasional smoker),9.062941,16.741,16.03742,17.46903,Significantly lower
Melbourne (C),Increased lifetime risk of alcohol related harm,54.79651,59.48907,58.59407,60.37781,Significantly lower
Melbourne (C),Incr. risk of injury from a single occasion of drinking,41.10981,42.98549,42.10708,43.86834,Significantly lower
Melbourne (C),Fair or poor self reported health,20.09937,20.28965,19.55869,21.04079,Not sig. diff.
Melbourne (C),Low or medium life satisfaction,24.16481,20.45532,19.69321,21.23913,Significantly higher
Melbourne (C),High or very high levels of psychological distress,17.76,15.43,14.75,16.14,Significantly higher
Melbourne (C),Doctor diagnosed hypertension,27.0208,25.42567,24.74985,26.11354,Significantly higher
Melbourne (C),Anxiety or depression,22.05248,27.36389,26.566,28.17655,Significantly lower
Melbourne (C),Arthritis,11.75979,20.54975,19.97896,21.13254,Significantly lower
Melbourne (C),Asthma ever diagnosed,15.19695,19.9574,19.24135,20.69326,Significantly lower
Melbourne (C),Cancer,6.186236,8.055676,7.650898,8.479904,Significantly lower
Melbourne (C),Type 2 diabetes,2.518099,5.452335,5.114101,5.81157,Significantly lower
Melbourne (C),Heart disease,5.104255,6.74474,6.381202,7.127412,Significantly lower
Melbourne (C),Osteoporosis,2.371845,5.669229,5.326293,6.032838,Significantly lower
Melbourne (C),Stroke,1.13698,2.364184,2.142138,2.608632,Significantly lower
Melbourne (C),Two or more chronic diseases,17.77544,25.48854,24.80298,26.18645,Significantly lower
Melbourne (C),Had a blood lipids test in last 2 years,52.53976,56.78789,55.95063,57.62128,Significantly lower
Melbourne (C),Had a blood pressure test in last 2 years,79.43325,79.5963,78.80486,80.36555,Not sig. diff.
Melbourne (C),Had a blood glucose test in last 2 years,44.19037,50.72365,49.86354,51.58334,Significantly lower
Melbourne (C),Had a faecal occult blood test 50 years of age,44.18605,60.14296,58.76671,61.50336,Significantly lower
Melbourne (C),Had a bowel exam to detect cancer last 5 years,39.68892,46.75256,45.59576,47.91285,Significantly lower
Melbourne (C),Had a mammogram to detect cancer in last 2 years,90.27122,79.2266,77.66267,80.70823,Significantly higher
Melton (S),Obese,29.6224,19.26897,18.58293,19.97411,Significantly higher
Melton (S),Overweight,57.36178,50.80429,49.90919,51.69888,Significantly higher
Melton (S),Daily consumer of sugar sweetened soft drinks,17.3832,10.09867,9.516874,10.71183,Significantly higher
Melton (S),Take away food consumed >1 day/week,12.7614,15.2893,14.59565,16.00974,Significantly lower
Melton (S),Sedentary (inactive),4.25975,2.539791,2.256574,2.857514,Significantly higher
Melton (S),Insufficiently physically active,40.37101,44.08774,43.18836,44.99101,Significantly lower
Melton (S),Complied with vegetable consumption guidelines,3.015179,5.388293,5.0284,5.77238,Significantly lower
Melton (S),Complied with fruit consumption guidelines,35.54651,43.19355,42.28772,44.10395,Significantly lower
Melton (S),Daily smoker,18.5358,12.42754,11.80477,13.0783,Significantly higher
Melton (S),Current (i.e. daily or occasional smoker),21.25409,16.741,16.03742,17.46903,Significantly higher
Melton (S),Increased lifetime risk of alcohol related harm,53.1477,59.48907,58.59407,60.37781,Significantly lower
Melton (S),Incr. risk of injury from a single occasion of drinking,37.52269,42.98549,42.10708,43.86834,Significantly lower
Melton (S),Fair or poor self reported health,24.10441,20.28965,19.55869,21.04079,Significantly higher
Melton (S),Low or medium life satisfaction,21.16797,20.45532,19.69321,21.23913,Not sig. diff.
Melton (S),High or very high levels of psychological distress,20.18,15.43,14.75,16.14,Significantly higher
Melton (S),Doctor diagnosed hypertension,32.24295,25.42567,24.74985,26.11354,Significantly higher
Melton (S),Anxiety or depression,31.52106,27.36389,26.566,28.17655,Significantly higher
Melton (S),Arthritis,21.08433,20.54975,19.97896,21.13254,Not sig. diff.
Melton (S),Asthma ever diagnosed,17.63401,19.9574,19.24135,20.69326,Significantly lower
Melton (S),Cancer,8.642519,8.055676,7.650898,8.479904,Significantly higher
Melton (S),Type 2 diabetes,7.13181,5.452335,5.114101,5.81157,Significantly higher
Melton (S),Heart disease,6.059956,6.74474,6.381202,7.127412,Significantly lower
Melton (S),Osteoporosis,4.064491,5.669229,5.326293,6.032838,Significantly lower
Melton (S),Stroke,3.736671,2.364184,2.142138,2.608632,Significantly higher
Melton (S),Two or more chronic diseases,26.42376,25.48854,24.80298,26.18645,Significantly higher
Melton (S),Had a blood lipids test in last 2 years,62.59571,56.78789,55.95063,57.62128,Significantly higher
Melton (S),Had a blood pressure test in last 2 years,82.81964,79.5963,78.80486,80.36555,Significantly higher
Melton (S),Had a blood glucose test in last 2 years,56.85697,50.72365,49.86354,51.58334,Significantly higher
Melton (S),Had a faecal occult blood test 50 years of age,59.12533,60.14296,58.76671,61.50336,Not sig. diff.
Melton (S),Had a bowel exam to detect cancer last 5 years,38.10479,46.75256,45.59576,47.91285,Significantly lower
Melton (S),Had a mammogram to detect cancer in last 2 years,80.94272,79.2266,77.66267,80.70823,Significantly higher
Mildura (RC),Obese,31.62253,19.26897,18.58293,19.97411,Significantly higher
Mildura (RC),Overweight,57.88933,50.80429,49.90919,51.69888,Significantly higher
Mildura (RC),Daily consumer of sugar sweetened soft drinks,16.11566,10.09867,9.516874,10.71183,Significantly higher
Mildura (RC),Take away food consumed >1 day/week,17.38933,15.2893,14.59565,16.00974,Significantly higher
Mildura (RC),Sedentary (inactive),1.917252,2.539791,2.256574,2.857514,Significantly lower
Mildura (RC),Insufficiently physically active,40.59234,44.08774,43.18836,44.99101,Significantly lower
Mildura (RC),Complied with vegetable consumption guidelines,2.916788,5.388293,5.0284,5.77238,Significantly lower
Mildura (RC),Complied with fruit consumption guidelines,39.6162,43.19355,42.28772,44.10395,Significantly lower
Mildura (RC),Daily smoker,15.07555,12.42754,11.80477,13.0783,Significantly higher
Mildura (RC),Current (i.e. daily or occasional smoker),18.54065,16.741,16.03742,17.46903,Significantly higher
Mildura (RC),Increased lifetime risk of alcohol related harm,57.59087,59.48907,58.59407,60.37781,Significantly lower
Mildura (RC),Incr. risk of injury from a single occasion of drinking,47.56562,42.98549,42.10708,43.86834,Significantly higher
Mildura (RC),Fair or poor self reported health,22.26793,20.28965,19.55869,21.04079,Significantly higher
Mildura (RC),Low or medium life satisfaction,21.27241,20.45532,19.69321,21.23913,Significantly higher
Mildura (RC),High or very high levels of psychological distress,17.42,15.43,14.75,16.14,Significantly higher
Mildura (RC),Doctor diagnosed hypertension,26.49699,25.42567,24.74985,26.11354,Significantly higher
Mildura (RC),Anxiety or depression,34.92993,27.36389,26.566,28.17655,Significantly higher
Mildura (RC),Arthritis,23.42885,20.54975,19.97896,21.13254,Significantly higher
Mildura (RC),Asthma ever diagnosed,25.54678,19.9574,19.24135,20.69326,Significantly higher
Mildura (RC),Cancer,8.47533,8.055676,7.650898,8.479904,Not sig. diff.
Mildura (RC),Type 2 diabetes,6.294859,5.452335,5.114101,5.81157,Significantly higher
Mildura (RC),Heart disease,5.534991,6.74474,6.381202,7.127412,Significantly lower
Mildura (RC),Osteoporosis,6.400684,5.669229,5.326293,6.032838,Significantly higher
Mildura (RC),Stroke,2.064163,2.364184,2.142138,2.608632,Significantly lower
Mildura (RC),Two or more chronic diseases,32.14626,25.48854,24.80298,26.18645,Significantly higher
Mildura (RC),Had a blood lipids test in last 2 years,53.57017,56.78789,55.95063,57.62128,Significantly lower
Mildura (RC),Had a blood pressure test in last 2 years,85.26127,79.5963,78.80486,80.36555,Significantly higher
Mildura (RC),Had a blood glucose test in last 2 years,49.71597,50.72365,49.86354,51.58334,Significantly lower
Mildura (RC),Had a faecal occult blood test 50 years of age,74.3084,60.14296,58.76671,61.50336,Significantly higher
Mildura (RC),Had a bowel exam to detect cancer last 5 years,57.70646,46.75256,45.59576,47.91285,Significantly higher
Mildura (RC),Had a mammogram to detect cancer in last 2 years,79.07811,79.2266,77.66267,80.70823,Not sig. diff.
Mitchell (S),Obese,32.17985,19.26897,18.58293,19.97411,Significantly higher
Mitchell (S),Overweight,62.65494,50.80429,49.90919,51.69888,Significantly higher
Mitchell (S),Daily consumer of sugar sweetened soft drinks,21.68523,10.09867,9.516874,10.71183,Significantly higher
Mitchell (S),Take away food consumed >1 day/week,16.45421,15.2893,14.59565,16.00974,Significantly higher
Mitchell (S),Sedentary (inactive),1.781487,2.539791,2.256574,2.857514,Significantly lower
Mitchell (S),Insufficiently physically active,38.99552,44.08774,43.18836,44.99101,Significantly lower
Mitchell (S),Complied with vegetable consumption guidelines,5.683312,5.388293,5.0284,5.77238,Not sig. diff.
Mitchell (S),Complied with fruit consumption guidelines,38.48811,43.19355,42.28772,44.10395,Significantly lower
Mitchell (S),Daily smoker,17.25991,12.42754,11.80477,13.0783,Significantly higher
Mitchell (S),Current (i.e. daily or occasional smoker),23.66143,16.741,16.03742,17.46903,Significantly higher
Mitchell (S),Increased lifetime risk of alcohol related harm,66.56403,59.48907,58.59407,60.37781,Significantly higher
Mitchell (S),Incr. risk of injury from a single occasion of drinking,49.8711,42.98549,42.10708,43.86834,Significantly higher
Mitchell (S),Fair or poor self reported health,25.13006,20.28965,19.55869,21.04079,Significantly higher
Mitchell (S),Low or medium life satisfaction,23.8249,20.45532,19.69321,21.23913,Significantly higher
Mitchell (S),High or very high levels of psychological distress,21.79,15.43,14.75,16.14,Significantly higher
Mitchell (S),Doctor diagnosed hypertension,28.62874,25.42567,24.74985,26.11354,Significantly higher
Mitchell (S),Anxiety or depression,32.92092,27.36389,26.566,28.17655,Significantly higher
Mitchell (S),Arthritis,26.99925,20.54975,19.97896,21.13254,Significantly higher
Mitchell (S),Asthma ever diagnosed,23.89048,19.9574,19.24135,20.69326,Significantly higher
Mitchell (S),Cancer,7.590014,8.055676,7.650898,8.479904,Significantly lower
Mitchell (S),Type 2 diabetes,7.034552,5.452335,5.114101,5.81157,Significantly higher
Mitchell (S),Heart disease,9.244268,6.74474,6.381202,7.127412,Significantly higher
Mitchell (S),Osteoporosis,6.066007,5.669229,5.326293,6.032838,Significantly higher
Mitchell (S),Stroke,2.323108,2.364184,2.142138,2.608632,Not sig. diff.
Mitchell (S),Two or more chronic diseases,30.71719,25.48854,24.80298,26.18645,Significantly higher
Mitchell (S),Had a blood lipids test in last 2 years,59.12607,56.78789,55.95063,57.62128,Significantly higher
Mitchell (S),Had a blood pressure test in last 2 years,82.73869,79.5963,78.80486,80.36555,Significantly higher
Mitchell (S),Had a blood glucose test in last 2 years,57.95767,50.72365,49.86354,51.58334,Significantly higher
Mitchell (S),Had a faecal occult blood test 50 years of age,51.79127,60.14296,58.76671,61.50336,Significantly lower
Mitchell (S),Had a bowel exam to detect cancer last 5 years,44.93652,46.75256,45.59576,47.91285,Significantly lower
Mitchell (S),Had a mammogram to detect cancer in last 2 years,81.33276,79.2266,77.66267,80.70823,Significantly higher
Moira (S),Obese,25.80936,19.26897,18.58293,19.97411,Significantly higher
Moira (S),Overweight,59.36357,50.80429,49.90919,51.69888,Significantly higher
Moira (S),Daily consumer of sugar sweetened soft drinks,21.56667,10.09867,9.516874,10.71183,Significantly higher
Moira (S),Take away food consumed >1 day/week,14.53553,15.2893,14.59565,16.00974,Significantly lower
Moira (S),Sedentary (inactive),1.515073,2.539791,2.256574,2.857514,Significantly lower
Moira (S),Insufficiently physically active,47.29247,44.08774,43.18836,44.99101,Significantly higher
Moira (S),Complied with vegetable consumption guidelines,5.146363,5.388293,5.0284,5.77238,Not sig. diff.
Moira (S),Complied with fruit consumption guidelines,39.11346,43.19355,42.28772,44.10395,Significantly lower
Moira (S),Daily smoker,19.68824,12.42754,11.80477,13.0783,Significantly higher
Moira (S),Current (i.e. daily or occasional smoker),24.00129,16.741,16.03742,17.46903,Significantly higher
Moira (S),Increased lifetime risk of alcohol related harm,68.27542,59.48907,58.59407,60.37781,Significantly higher
Moira (S),Incr. risk of injury from a single occasion of drinking,51.5134,42.98549,42.10708,43.86834,Significantly higher
Moira (S),Fair or poor self reported health,26.36196,20.28965,19.55869,21.04079,Significantly higher
Moira (S),Low or medium life satisfaction,18.80932,20.45532,19.69321,21.23913,Significantly lower
Moira (S),High or very high levels of psychological distress,14.62,15.43,14.75,16.14,Significantly lower
Moira (S),Doctor diagnosed hypertension,28.21177,25.42567,24.74985,26.11354,Significantly higher
Moira (S),Anxiety or depression,34.55168,27.36389,26.566,28.17655,Significantly higher
Moira (S),Arthritis,24.78203,20.54975,19.97896,21.13254,Significantly higher
Moira (S),Asthma ever diagnosed,26.87468,19.9574,19.24135,20.69326,Significantly higher
Moira (S),Cancer,9.624613,8.055676,7.650898,8.479904,Significantly higher
Moira (S),Type 2 diabetes,5.464098,5.452335,5.114101,5.81157,Not sig. diff.
Moira (S),Heart disease,8.361214,6.74474,6.381202,7.127412,Significantly higher
Moira (S),Osteoporosis,5.928947,5.669229,5.326293,6.032838,Not sig. diff.
Moira (S),Stroke,2.914003,2.364184,2.142138,2.608632,Significantly higher
Moira (S),Two or more chronic diseases,35.95479,25.48854,24.80298,26.18645,Significantly higher
Moira (S),Had a blood lipids test in last 2 years,55.3583,56.78789,55.95063,57.62128,Significantly lower
Moira (S),Had a blood pressure test in last 2 years,77.98144,79.5963,78.80486,80.36555,Significantly lower
Moira (S),Had a blood glucose test in last 2 years,54.86742,50.72365,49.86354,51.58334,Significantly higher
Moira (S),Had a faecal occult blood test 50 years of age,63.71224,60.14296,58.76671,61.50336,Significantly higher
Moira (S),Had a bowel exam to detect cancer last 5 years,49.66182,46.75256,45.59576,47.91285,Significantly higher
Moira (S),Had a mammogram to detect cancer in last 2 years,87.90624,79.2266,77.66267,80.70823,Significantly higher
Monash (C),Obese,13.07402,19.26897,18.58293,19.97411,Significantly lower
Monash (C),Overweight,42.52816,50.80429,49.90919,51.69888,Significantly lower
Monash (C),Daily consumer of sugar sweetened soft drinks,6.508046,10.09867,9.516874,10.71183,Significantly lower
Monash (C),Take away food consumed >1 day/week,14.06615,15.2893,14.59565,16.00974,Significantly lower
Monash (C),Sedentary (inactive),3.148371,2.539791,2.256574,2.857514,Significantly higher
Monash (C),Insufficiently physically active,49.51715,44.08774,43.18836,44.99101,Significantly higher
Monash (C),Complied with vegetable consumption guidelines,4.185142,5.388293,5.0284,5.77238,Significantly lower
Monash (C),Complied with fruit consumption guidelines,41.21249,43.19355,42.28772,44.10395,Significantly lower
Monash (C),Daily smoker,9.499371,12.42754,11.80477,13.0783,Significantly lower
Monash (C),Current (i.e. daily or occasional smoker),13.58679,16.741,16.03742,17.46903,Significantly lower
Monash (C),Increased lifetime risk of alcohol related harm,45.13902,59.48907,58.59407,60.37781,Significantly lower
Monash (C),Incr. risk of injury from a single occasion of drinking,28.58928,42.98549,42.10708,43.86834,Significantly lower
Monash (C),Fair or poor self reported health,20.95889,20.28965,19.55869,21.04079,Not sig. diff.
Monash (C),Low or medium life satisfaction,19.06672,20.45532,19.69321,21.23913,Significantly lower
Monash (C),High or very high levels of psychological distress,15.24,15.43,14.75,16.14,Not sig. diff.
Monash (C),Doctor diagnosed hypertension,23.77676,25.42567,24.74985,26.11354,Significantly lower
Monash (C),Anxiety or depression,16.38665,27.36389,26.566,28.17655,Significantly lower
Monash (C),Arthritis,19.37648,20.54975,19.97896,21.13254,Significantly lower
Monash (C),Asthma ever diagnosed,19.18234,19.9574,19.24135,20.69326,Significantly lower
Monash (C),Cancer,8.871847,8.055676,7.650898,8.479904,Significantly higher
Monash (C),Type 2 diabetes,5.600087,5.452335,5.114101,5.81157,Not sig. diff.
Monash (C),Heart disease,6.362689,6.74474,6.381202,7.127412,Significantly lower
Monash (C),Osteoporosis,6.815961,5.669229,5.326293,6.032838,Significantly higher
Monash (C),Stroke,1.59301,2.364184,2.142138,2.608632,Significantly lower
Monash (C),Two or more chronic diseases,22.54841,25.48854,24.80298,26.18645,Significantly lower
Monash (C),Had a blood lipids test in last 2 years,56.82913,56.78789,55.95063,57.62128,Not sig. diff.
Monash (C),Had a blood pressure test in last 2 years,71.98233,79.5963,78.80486,80.36555,Significantly lower
Monash (C),Had a blood glucose test in last 2 years,50.82519,50.72365,49.86354,51.58334,Not sig. diff.
Monash (C),Had a faecal occult blood test 50 years of age,60.36663,60.14296,58.76671,61.50336,Not sig. diff.
Monash (C),Had a bowel exam to detect cancer last 5 years,47.07312,46.75256,45.59576,47.91285,Not sig. diff.
Monash (C),Had a mammogram to detect cancer in last 2 years,88.57493,79.2266,77.66267,80.70823,Significantly higher
Moonee Valley (C),Obese,12.54954,19.26897,18.58293,19.97411,Significantly lower
Moonee Valley (C),Overweight,47.64528,50.80429,49.90919,51.69888,Significantly lower
Moonee Valley (C),Daily consumer of sugar sweetened soft drinks,6.351242,10.09867,9.516874,10.71183,Significantly lower
Moonee Valley (C),Take away food consumed >1 day/week,23.68981,15.2893,14.59565,16.00974,Significantly higher
Moonee Valley (C),Sedentary (inactive),4.672186,2.539791,2.256574,2.857514,Significantly higher
Moonee Valley (C),Insufficiently physically active,36.68008,44.08774,43.18836,44.99101,Significantly lower
Moonee Valley (C),Complied with vegetable consumption guidelines,4.376367,5.388293,5.0284,5.77238,Significantly lower
Moonee Valley (C),Complied with fruit consumption guidelines,47.47225,43.19355,42.28772,44.10395,Significantly higher
Moonee Valley (C),Daily smoker,9.349328,12.42754,11.80477,13.0783,Significantly lower
Moonee Valley (C),Current (i.e. daily or occasional smoker),15.34788,16.741,16.03742,17.46903,Significantly lower
Moonee Valley (C),Increased lifetime risk of alcohol related harm,64.16935,59.48907,58.59407,60.37781,Significantly higher
Moonee Valley (C),Incr. risk of injury from a single occasion of drinking,46.64904,42.98549,42.10708,43.86834,Significantly higher
Moonee Valley (C),Fair or poor self reported health,17.70139,20.28965,19.55869,21.04079,Significantly lower
Moonee Valley (C),Low or medium life satisfaction,19.92386,20.45532,19.69321,21.23913,Not sig. diff.
Moonee Valley (C),High or very high levels of psychological distress,12.45,15.43,14.75,16.14,Significantly lower
Moonee Valley (C),Doctor diagnosed hypertension,23.82398,25.42567,24.74985,26.11354,Significantly lower
Moonee Valley (C),Anxiety or depression,30.37751,27.36389,26.566,28.17655,Significantly higher
Moonee Valley (C),Arthritis,15.22883,20.54975,19.97896,21.13254,Significantly lower
Moonee Valley (C),Asthma ever diagnosed,21.45446,19.9574,19.24135,20.69326,Significantly higher
Moonee Valley (C),Cancer,8.030866,8.055676,7.650898,8.479904,Not sig. diff.
Moonee Valley (C),Type 2 diabetes,3.250122,5.452335,5.114101,5.81157,Significantly lower
Moonee Valley (C),Heart disease,6.591474,6.74474,6.381202,7.127412,Not sig. diff.
Moonee Valley (C),Osteoporosis,4.786386,5.669229,5.326293,6.032838,Significantly lower
Moonee Valley (C),Stroke,2.138468,2.364184,2.142138,2.608632,Significantly lower
Moonee Valley (C),Two or more chronic diseases,23.0273,25.48854,24.80298,26.18645,Significantly lower
Moonee Valley (C),Had a blood lipids test in last 2 years,55.62487,56.78789,55.95063,57.62128,Significantly lower
Moonee Valley (C),Had a blood pressure test in last 2 years,78.20118,79.5963,78.80486,80.36555,Significantly lower
Moonee Valley (C),Had a blood glucose test in last 2 years,47.62604,50.72365,49.86354,51.58334,Significantly lower
Moonee Valley (C),Had a faecal occult blood test 50 years of age,61.18355,60.14296,58.76671,61.50336,Not sig. diff.
Moonee Valley (C),Had a bowel exam to detect cancer last 5 years,41.1849,46.75256,45.59576,47.91285,Significantly lower
Moonee Valley (C),Had a mammogram to detect cancer in last 2 years,83.48997,79.2266,77.66267,80.70823,Significantly higher
Moorabool (S),Obese,30.72865,19.26897,18.58293,19.97411,Significantly higher
Moorabool (S),Overweight,59.60341,50.80429,49.90919,51.69888,Significantly higher
Moorabool (S),Daily consumer of sugar sweetened soft drinks,17.67481,10.09867,9.516874,10.71183,Significantly higher
Moorabool (S),Take away food consumed >1 day/week,15.21869,15.2893,14.59565,16.00974,Not sig. diff.
Moorabool (S),Sedentary (inactive),2.393467,2.539791,2.256574,2.857514,Not sig. diff.
Moorabool (S),Insufficiently physically active,45.01459,44.08774,43.18836,44.99101,Significantly higher
Moorabool (S),Complied with vegetable consumption guidelines,6.554605,5.388293,5.0284,5.77238,Significantly higher
Moorabool (S),Complied with fruit consumption guidelines,40.72379,43.19355,42.28772,44.10395,Significantly lower
Moorabool (S),Daily smoker,17.20753,12.42754,11.80477,13.0783,Significantly higher
Moorabool (S),Current (i.e. daily or occasional smoker),22.47376,16.741,16.03742,17.46903,Significantly higher
Moorabool (S),Increased lifetime risk of alcohol related harm,67.22696,59.48907,58.59407,60.37781,Significantly higher
Moorabool (S),Incr. risk of injury from a single occasion of drinking,51.30446,42.98549,42.10708,43.86834,Significantly higher
Moorabool (S),Fair or poor self reported health,24.88005,20.28965,19.55869,21.04079,Significantly higher
Moorabool (S),Low or medium life satisfaction,23.33657,20.45532,19.69321,21.23913,Significantly higher
Moorabool (S),High or very high levels of psychological distress,16.43,15.43,14.75,16.14,Significantly higher
Moorabool (S),Doctor diagnosed hypertension,26.35776,25.42567,24.74985,26.11354,Significantly higher
Moorabool (S),Anxiety or depression,32.46511,27.36389,26.566,28.17655,Significantly higher
Moorabool (S),Arthritis,20.96432,20.54975,19.97896,21.13254,Not sig. diff.
Moorabool (S),Asthma ever diagnosed,22.5195,19.9574,19.24135,20.69326,Significantly higher
Moorabool (S),Cancer,11.25953,8.055676,7.650898,8.479904,Significantly higher
Moorabool (S),Type 2 diabetes,8.397067,5.452335,5.114101,5.81157,Significantly higher
Moorabool (S),Heart disease,6.365319,6.74474,6.381202,7.127412,Significantly lower
Moorabool (S),Osteoporosis,6.027961,5.669229,5.326293,6.032838,Not sig. diff.
Moorabool (S),Stroke,2.066392,2.364184,2.142138,2.608632,Significantly lower
Moorabool (S),Two or more chronic diseases,30.91925,25.48854,24.80298,26.18645,Significantly higher
Moorabool (S),Had a blood lipids test in last 2 years,52.20265,56.78789,55.95063,57.62128,Significantly lower
Moorabool (S),Had a blood pressure test in last 2 years,77.9608,79.5963,78.80486,80.36555,Significantly lower
Moorabool (S),Had a blood glucose test in last 2 years,56.75055,50.72365,49.86354,51.58334,Significantly higher
Moorabool (S),Had a faecal occult blood test 50 years of age,52.89681,60.14296,58.76671,61.50336,Significantly lower
Moorabool (S),Had a bowel exam to detect cancer last 5 years,45.45072,46.75256,45.59576,47.91285,Significantly lower
Moorabool (S),Had a mammogram to detect cancer in last 2 years,77.92208,79.2266,77.66267,80.70823,Not sig. diff.
Moreland (C),Obese,16.03296,19.26897,18.58293,19.97411,Significantly lower
Moreland (C),Overweight,50.23556,50.80429,49.90919,51.69888,Not sig. diff.
Moreland (C),Daily consumer of sugar sweetened soft drinks,9.636313,10.09867,9.516874,10.71183,Not sig. diff.
Moreland (C),Take away food consumed >1 day/week,16.7972,15.2893,14.59565,16.00974,Significantly higher
Moreland (C),Sedentary (inactive),1.29837,2.539791,2.256574,2.857514,Significantly lower
Moreland (C),Insufficiently physically active,50.20082,44.08774,43.18836,44.99101,Significantly higher
Moreland (C),Complied with vegetable consumption guidelines,7.189021,5.388293,5.0284,5.77238,Significantly higher
Moreland (C),Complied with fruit consumption guidelines,45.25343,43.19355,42.28772,44.10395,Significantly higher
Moreland (C),Daily smoker,12.45702,12.42754,11.80477,13.0783,Not sig. diff.
Moreland (C),Current (i.e. daily or occasional smoker),18.57819,16.741,16.03742,17.46903,Significantly higher
Moreland (C),Increased lifetime risk of alcohol related harm,58.30759,59.48907,58.59407,60.37781,Significantly lower
Moreland (C),Incr. risk of injury from a single occasion of drinking,44.16535,42.98549,42.10708,43.86834,Significantly higher
Moreland (C),Fair or poor self reported health,21.95296,20.28965,19.55869,21.04079,Significantly higher
Moreland (C),Low or medium life satisfaction,21.71541,20.45532,19.69321,21.23913,Significantly higher
Moreland (C),High or very high levels of psychological distress,15.64,15.43,14.75,16.14,Not sig. diff.
Moreland (C),Doctor diagnosed hypertension,23.4392,25.42567,24.74985,26.11354,Significantly lower
Moreland (C),Anxiety or depression,27.43288,27.36389,26.566,28.17655,Not sig. diff.
Moreland (C),Arthritis,22.24937,20.54975,19.97896,21.13254,Significantly higher
Moreland (C),Asthma ever diagnosed,14.63476,19.9574,19.24135,20.69326,Significantly lower
Moreland (C),Cancer,5.120739,8.055676,7.650898,8.479904,Significantly lower
Moreland (C),Type 2 diabetes,5.587209,5.452335,5.114101,5.81157,Not sig. diff.
Moreland (C),Heart disease,8.027265,6.74474,6.381202,7.127412,Significantly higher
